id;year;type_obj;from_obj;to_inf;cost;only;hard
2001;2023;inf;208;11;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2002;2024;inf;208;11;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2003;2025;inf;208;11;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2004;2026;inf;208;11;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2005;2027;inf;208;11;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2006;2028;inf;208;11;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2007;2029;inf;208;11;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2008;2030;inf;208;11;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2009;2020;inf;128;4;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2010;2021;inf;128;4;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2011;2022;inf;128;4;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2012;2023;inf;128;12;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2013;2024;inf;128;12;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2014;2025;inf;128;12;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2015;2026;inf;128;12;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2016;2027;inf;128;12;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2017;2028;inf;128;12;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2018;2029;inf;128;12;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2019;2030;inf;128;12;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2020;2016;region;75;123;0;ËÎÆÜ;ËÎÆÜ
2021;2017;region;75;123;0;ËÎÆÜ;ËÎÆÜ
2022;2018;region;75;123;0;ËÎÆÜ;ËÎÆÜ
2023;2019;region;75;123;0;ËÎÆÜ;ËÎÆÜ
2024;2020;region;75;123;0;ËÎÆÜ;ËÎÆÜ
2025;2021;region;75;123;0;ËÎÆÜ;ËÎÆÜ
2026;2022;region;75;123;0;ËÎÆÜ;ËÎÆÜ
2027;2023;region;75;123;0;ËÎÆÜ;ËÎÆÜ
2028;2024;region;75;123;0;ËÎÆÜ;ËÎÆÜ
2029;2025;region;75;123;0;ËÎÆÜ;ËÎÆÜ
2030;2026;region;75;123;0;ËÎÆÜ;ËÎÆÜ
2031;2027;region;75;123;0;ËÎÆÜ;ËÎÆÜ
2032;2028;region;75;123;0;ËÎÆÜ;ËÎÆÜ
2033;2029;region;75;123;0;ËÎÆÜ;ËÎÆÜ
2034;2030;region;75;123;0;ËÎÆÜ;ËÎÆÜ
2035;2016;region;11;2;0;ËÎÆÜ;ËÎÆÜ
2036;2017;region;11;2;0;ËÎÆÜ;ËÎÆÜ
2037;2018;region;11;2;0;ËÎÆÜ;ËÎÆÜ
2038;2019;region;11;2;0;ËÎÆÜ;ËÎÆÜ
2039;2020;region;11;208;0;ËÎÆÜ;ËÎÆÜ
2040;2021;region;11;208;0;ËÎÆÜ;ËÎÆÜ
2041;2022;region;11;208;0;ËÎÆÜ;ËÎÆÜ
2042;2023;region;11;208;0;ËÎÆÜ;ËÎÆÜ
2043;2024;region;11;208;0;ËÎÆÜ;ËÎÆÜ
2044;2025;region;11;208;0;ËÎÆÜ;ËÎÆÜ
2045;2026;region;11;208;0;ËÎÆÜ;ËÎÆÜ
2046;2027;region;11;208;0;ËÎÆÜ;ËÎÆÜ
2047;2028;region;11;208;0;ËÎÆÜ;ËÎÆÜ
2048;2029;region;11;208;0;ËÎÆÜ;ËÎÆÜ
2049;2030;region;11;208;0;ËÎÆÜ;ËÎÆÜ
2050;2020;inf;107;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2051;2021;inf;107;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2052;2022;inf;107;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2053;2023;inf;107;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2054;2024;inf;107;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2055;2025;inf;107;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2056;2026;inf;107;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2057;2027;inf;107;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2058;2028;inf;107;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2059;2029;inf;107;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2060;2030;inf;107;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2061;2020;inf;108;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2062;2021;inf;108;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2063;2022;inf;108;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2064;2023;inf;108;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2065;2024;inf;108;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2066;2025;inf;108;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2067;2026;inf;108;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2068;2027;inf;108;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2069;2028;inf;108;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2070;2029;inf;108;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2071;2030;inf;108;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2072;2020;inf;109;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2073;2021;inf;109;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2074;2022;inf;109;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2075;2023;inf;109;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2076;2024;inf;109;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2077;2025;inf;109;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2078;2026;inf;109;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2079;2027;inf;109;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2080;2028;inf;109;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2081;2029;inf;109;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2082;2030;inf;109;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2083;2020;inf;110;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2084;2021;inf;110;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2085;2022;inf;110;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2086;2023;inf;110;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2087;2024;inf;110;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2088;2025;inf;110;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2089;2026;inf;110;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2090;2027;inf;110;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2091;2028;inf;110;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2092;2029;inf;110;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2093;2030;inf;110;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2094;2020;inf;111;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2095;2021;inf;111;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2096;2022;inf;111;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2097;2023;inf;111;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2098;2024;inf;111;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2099;2025;inf;111;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2100;2026;inf;111;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2101;2027;inf;111;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2102;2028;inf;111;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2103;2029;inf;111;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2104;2030;inf;111;205;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2105;2023;inf;209;12;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2106;2020;inf;129;7;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2107;2021;inf;129;7;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2108;2022;inf;129;14;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2109;2023;inf;129;14;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2110;2024;inf;129;14;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2111;2025;inf;129;14;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2112;2026;inf;129;14;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2113;2027;inf;129;14;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2114;2028;inf;129;14;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2115;2029;inf;129;14;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2116;2030;inf;129;14;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2117;2016;region;68;4;0;ËÎÆÜ;ËÎÆÜ
2118;2017;region;68;4;0;ËÎÆÜ;ËÎÆÜ
2119;2018;region;68;4;0;ËÎÆÜ;ËÎÆÜ
2120;2019;region;68;128;0;ËÎÆÜ;ËÎÆÜ
2121;2020;region;68;128;0;ËÎÆÜ;ËÎÆÜ
2122;2021;region;68;128;0;ËÎÆÜ;ËÎÆÜ
2123;2022;region;68;128;0;ËÎÆÜ;ËÎÆÜ
2124;2023;region;68;128;0;ËÎÆÜ;ËÎÆÜ
2125;2024;region;68;128;0;ËÎÆÜ;ËÎÆÜ
2126;2025;region;68;128;0;ËÎÆÜ;ËÎÆÜ
2127;2026;region;68;128;0;ËÎÆÜ;ËÎÆÜ
2128;2027;region;68;128;0;ËÎÆÜ;ËÎÆÜ
2129;2028;region;68;128;0;ËÎÆÜ;ËÎÆÜ
2130;2029;region;68;128;0;ËÎÆÜ;ËÎÆÜ
2131;2030;region;68;128;0;ËÎÆÜ;ËÎÆÜ
2132;2016;region;70;129;0;ËÎÆÜ;ËÎÆÜ
2133;2017;region;70;122;0;ËÎÆÜ;ËÎÆÜ
2134;2018;region;70;122;0;ËÎÆÜ;ËÎÆÜ
2135;2019;region;70;122;0;ËÎÆÜ;ËÎÆÜ
2136;2020;region;70;129;0;ËÎÆÜ;ËÎÆÜ
2137;2021;region;70;129;0;ËÎÆÜ;ËÎÆÜ
2138;2022;region;70;129;0;ËÎÆÜ;ËÎÆÜ
2139;2023;region;70;129;0;ËÎÆÜ;ËÎÆÜ
2140;2024;region;70;129;0;ËÎÆÜ;ËÎÆÜ
2141;2025;region;70;129;0;ËÎÆÜ;ËÎÆÜ
2142;2026;region;70;129;0;ËÎÆÜ;ËÎÆÜ
2143;2027;region;70;129;0;ËÎÆÜ;ËÎÆÜ
2144;2028;region;70;129;0;ËÎÆÜ;ËÎÆÜ
2145;2029;region;70;129;0;ËÎÆÜ;ËÎÆÜ
2146;2030;region;70;129;0;ËÎÆÜ;ËÎÆÜ
2147;2020;inf;122;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2148;2021;inf;122;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2149;2022;inf;122;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2150;2023;inf;122;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2151;2024;inf;122;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2152;2025;inf;122;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2153;2026;inf;122;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2154;2027;inf;122;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2155;2028;inf;122;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2156;2029;inf;122;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2157;2030;inf;122;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2158;2020;inf;123;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2159;2021;inf;123;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2160;2022;inf;123;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2161;2023;inf;123;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2162;2024;inf;123;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2163;2025;inf;123;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2164;2026;inf;123;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2165;2027;inf;123;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2166;2028;inf;123;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2167;2029;inf;123;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2168;2030;inf;123;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2169;2024;region;6;5;0;ËÎÆÜ;ËÎÆÜ
2170;2025;region;6;5;0;ËÎÆÜ;ËÎÆÜ
2171;2026;region;6;5;0;ËÎÆÜ;ËÎÆÜ
2172;2027;region;6;5;0;ËÎÆÜ;ËÎÆÜ
2173;2028;region;6;5;0;ËÎÆÜ;ËÎÆÜ
2174;2029;region;6;5;0;ËÎÆÜ;ËÎÆÜ
2175;2030;region;6;5;0;ËÎÆÜ;ËÎÆÜ
2176;2019;inf;122;208;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2177;2016;region;74;122;0;ËÎÆÜ;ËÎÆÜ
2178;2017;region;74;122;0;ËÎÆÜ;ËÎÆÜ
2179;2018;region;74;122;0;ËÎÆÜ;ËÎÆÜ
2180;2019;region;74;122;0;ËÎÆÜ;ËÎÆÜ
2181;2020;region;74;122;0;ËÎÆÜ;ËÎÆÜ
2182;2021;region;74;122;0;ËÎÆÜ;ËÎÆÜ
2183;2022;region;74;122;0;ËÎÆÜ;ËÎÆÜ
2184;2023;region;74;122;0;ËÎÆÜ;ËÎÆÜ
2185;2024;region;74;122;0;ËÎÆÜ;ËÎÆÜ
2186;2025;region;74;122;0;ËÎÆÜ;ËÎÆÜ
2187;2026;region;74;122;0;ËÎÆÜ;ËÎÆÜ
2188;2027;region;74;122;0;ËÎÆÜ;ËÎÆÜ
2189;2028;region;74;122;0;ËÎÆÜ;ËÎÆÜ
2190;2029;region;74;122;0;ËÎÆÜ;ËÎÆÜ
2191;2030;region;74;122;0;ËÎÆÜ;ËÎÆÜ
2192;2016;region;73;122;0;ËÎÆÜ;ËÎÆÜ
2193;2017;region;73;122;0;ËÎÆÜ;ËÎÆÜ
2194;2018;region;73;122;0;ËÎÆÜ;ËÎÆÜ
2195;2019;region;73;122;0;ËÎÆÜ;ËÎÆÜ
2196;2020;region;73;122;0;ËÎÆÜ;ËÎÆÜ
2197;2021;region;73;122;0;ËÎÆÜ;ËÎÆÜ
2198;2022;region;73;122;0;ËÎÆÜ;ËÎÆÜ
2199;2023;region;73;122;0;ËÎÆÜ;ËÎÆÜ
2200;2024;region;73;122;0;ËÎÆÜ;ËÎÆÜ
2201;2025;region;73;122;0;ËÎÆÜ;ËÎÆÜ
2202;2026;region;73;122;0;ËÎÆÜ;ËÎÆÜ
2203;2027;region;73;122;0;ËÎÆÜ;ËÎÆÜ
2204;2028;region;73;122;0;ËÎÆÜ;ËÎÆÜ
2205;2029;region;73;122;0;ËÎÆÜ;ËÎÆÜ
2206;2030;region;73;122;0;ËÎÆÜ;ËÎÆÜ
2207;2016;inf;113;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2208;2017;inf;113;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2209;2018;inf;113;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2210;2019;inf;113;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2211;2020;inf;113;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2212;2021;inf;113;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2213;2022;inf;113;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2214;2023;inf;113;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2215;2024;inf;113;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2216;2025;inf;113;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2217;2026;inf;113;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2218;2027;inf;113;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2219;2028;inf;113;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2220;2029;inf;113;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2221;2030;inf;113;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2222;2016;inf;113;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2223;2017;inf;113;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2224;2018;inf;113;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2225;2019;inf;113;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2226;2020;inf;113;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2227;2021;inf;113;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2228;2022;inf;113;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2229;2023;inf;113;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2230;2024;inf;113;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2231;2025;inf;113;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2232;2026;inf;113;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2233;2027;inf;113;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2234;2028;inf;113;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2235;2029;inf;113;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2236;2030;inf;113;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2237;2016;inf;117;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2238;2017;inf;117;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2239;2018;inf;117;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2240;2019;inf;117;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2241;2020;inf;117;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2242;2021;inf;117;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2243;2022;inf;117;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2244;2023;inf;117;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2245;2024;inf;117;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2246;2025;inf;117;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2247;2026;inf;117;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2248;2027;inf;117;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2249;2028;inf;117;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2250;2029;inf;117;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2251;2030;inf;117;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2252;2016;inf;117;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2253;2017;inf;117;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2254;2018;inf;117;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2255;2019;inf;117;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2256;2020;inf;117;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2257;2021;inf;117;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2258;2022;inf;117;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2259;2023;inf;117;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2260;2024;inf;117;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2261;2025;inf;117;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2262;2026;inf;117;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2263;2027;inf;117;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2264;2028;inf;117;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2265;2029;inf;117;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2266;2030;inf;117;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2267;2016;inf;119;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2268;2017;inf;119;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2269;2018;inf;119;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2270;2019;inf;119;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2271;2020;inf;119;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2272;2021;inf;119;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2273;2022;inf;119;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2274;2023;inf;119;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2275;2024;inf;119;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2276;2025;inf;119;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2277;2026;inf;119;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2278;2027;inf;119;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2279;2028;inf;119;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2280;2029;inf;119;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2281;2030;inf;119;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2282;2016;inf;119;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2283;2017;inf;119;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2284;2018;inf;119;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2285;2019;inf;119;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2286;2020;inf;119;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2287;2021;inf;119;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2288;2022;inf;119;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2289;2023;inf;119;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2290;2024;inf;119;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2291;2025;inf;119;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2292;2026;inf;119;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2293;2027;inf;119;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2294;2028;inf;119;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2295;2029;inf;119;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2296;2030;inf;119;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2297;2016;inf;118;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2298;2017;inf;118;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2299;2018;inf;118;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2300;2019;inf;118;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2301;2020;inf;118;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2302;2021;inf;118;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2303;2022;inf;118;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2304;2023;inf;118;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2305;2024;inf;118;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2306;2025;inf;118;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2307;2026;inf;118;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2308;2027;inf;118;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2309;2028;inf;118;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2310;2029;inf;118;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2311;2030;inf;118;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2312;2016;inf;118;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2313;2017;inf;118;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2314;2018;inf;118;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2315;2019;inf;118;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2316;2020;inf;118;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2317;2021;inf;118;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2318;2022;inf;118;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2319;2023;inf;118;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2320;2024;inf;118;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2321;2025;inf;118;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2322;2026;inf;118;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2323;2027;inf;118;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2324;2028;inf;118;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2325;2029;inf;118;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2326;2030;inf;118;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2327;2016;inf;102;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2328;2017;inf;102;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2329;2018;inf;102;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2330;2019;inf;102;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2331;2020;inf;102;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2332;2021;inf;102;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2342;2016;inf;102;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2343;2017;inf;102;207;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
